Title,Sale price,Merchant,Division,Category,Sub category,Artice type,Fabric,Occasion,Pattern,Image URL
SWAYAM Geometric Double Fitted Bed Sheet with 2 Pillow Covers,2499,shoppersstop,baby,"bedding, furniture & room decor",bedding,Bed,5,,3 print,https://sslimages.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/7C4554E95AC045F1AA55DBA7FA891751/204274558_9126_7C4554E95AC045F1AA55DBA7FA891751.jpg
Conglo FOX Baby Boys & Baby Girls Casual T-shirt Shorts(Multicolor),1599,flipkart,clothing & accessories,baby,baby boys 0-24m,Conglo FOX Infants Wear,5,,3 print,https://rukminim1.flixcart.com/image/200/200/j8lxyfk0/kids-apparel-combo/q/z/u/18-24-months-cfcom-mn-conglo-fox-original-imaeyjxkpnmknzk4.jpeg?q=90
DICY Women Black Bellies,499,flipkart,shoes & handbags,shoes,women's shoes,DICY Ballerinas,,,3 print,https://rukminim1.flixcart.com/image/200/200/j7m7y4w0/sandal/f/x/t/cr-k-107-black-40-carrito-black-original-imaexdqfyfuqpzvd.jpeg?q=90
"AJS Self Design, Geometric Print, Printed Bollywood Cotton Silk Saree(Grey)",2999,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,3 print,https://rukminim1.flixcart.com/image/200/200/j6wi0sw0-1/sari/y/h/z/free-v4582-sgm-original-imaewy9w5egnegeh.jpeg?q=90
Celio Men Grey Melange Printed Round Neck T-Shirt,999,jabong,clothing & accessories,t-shirts & polos,t-shirts,Polos & Tees,5,,3 print,http://static3.jassets.com/p/Celio-Grey-Melange-Printed-Round-Neck-T-Shirt-7706-074854003-1-catalog_m.jpg
Grey Printed Shorts,1245,jabong,clothing & accessories,shorts,shorts,Shorts & 3/4ths,,,3 print,http://static1.jassets.com/p/Fitz-Grey-Printed-Shorts-7156-353588003-1-catalog_m.jpg
"AJS Paisley, Striped, Geometric Print, Digital Prints, Printed Fashion Art Silk, Silk Saree(Green)",1999,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,3 print,https://rukminim1.flixcart.com/image/200/200/j7usl8w0/sari/j/v/p/free-zohra5511-sgm-original-imaew3huehmqusag.jpeg?q=90
Coral Printed Palazzo Kurta Set,1899,jabong,clothing & accessories,2 wear,salwar suit sets,Suit Sets,5,,3 print,http://static1.jassets.com/p/Gerua-Coral-Printed-Palazzo-Kurta-Set-8538-098809003-1-catalog_m.jpg
"SGM Paisley, Floral Print, Geometric Print, Striped, Printed Fashion Art Silk Saree(Multicolor)",1899,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,1 print,https://rukminim1.flixcart.com/image/200/200/sari/v/9/3/na-na-sg-417-ajs-original-imaejythevzpngwm.jpeg?q=90
PERFORMAX By Reliance Trends Boys Grey T-shirts (11-12 Years),499,paytm,clothing & accessories,tops & tees,t-shirts,Clothing for Boys,,1,3 print,https://assetscdn.paytm.com/images/catalog/product/K/KI/KIDPERFORMAX-BYRELI80737A8FBDE29/0..jpg
"AJS Paisley, Floral Print, Geometric Print, Striped, Printed Fashion Crepe Saree(Multicolor)",1999,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,1 print,https://rukminim1.flixcart.com/image/200/200/sari/d/e/h/na-na-sg-359-ajs-original-imaejyrgzyheqwzz.jpeg?q=90
Brown Textured Sweater,1499,jabong,clothing & accessories,sweaters,sweaters,Sweaters,5,,3 print,http://static4.jassets.com/p/Moda-Rapido-Brown-Textured-Sweater-1914-702710003-1-catalog_m.jpg
Rajrang White Color Ethnic Wear Embroidered Cotton Kurta for Men,829,paytm,clothing & accessories,2 wear,2 wear,Kurtas,,festive,3 print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPRAJRANG-WHITRAJR20103D303D839/1..jpg
Showoff Men's Nehru Jacket,3890,paytm,clothing & accessories,jackets & gilets,jackets,Ethnic Jackets,,,3 print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPSHOWOFF-MEN-SHOW24631979D68F8/0..jpg
"AJS Paisley, Geometric Print, Digital Prints, Printed Fashion Art Silk, Silk Saree(Multicolor)",1999,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,3 print,https://rukminim1.flixcart.com/image/200/200/j7usl8w0/sari/8/d/3/free-zo15-sgm-original-imaexn92x6av9pca.jpeg?q=90
Rajrang White Color Ethnic Wear Embroidered Cotton Kurta for Men,829,paytm,clothing & accessories,2 wear,2 wear,Kurtas,,festive,3 print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPRAJRANG-WHITRAJR20103CF725935/1..jpg
